CounterID_ASTA,daylight_hours,is_lighty,humidity,temperature,true,pred,StartTime,Lat,Lon,ASTA_Counters.NationalParkCode
900,11.606666666666667,0,0.94,10.47,0,1.4869969107232415,2019-10-01 04:00:00,68.14822237494718,24.09705541249237,Pallas-Yllästunturi
900,11.603055555555557,0,0.93,10.14,0,1.322713962593313,2019-10-01 05:00:00,68.14822237494718,24.09705541249237,Pallas-Yllästunturi
900,11.599166666666667,0,0.93,8.98,0,1.300604888908204,2019-10-01 06:00:00,68.14822237494718,24.09705541249237,Pallas-Yllästunturi
900,11.595277777777778,1,0.89,8.9,0,4.07517422437738,2019-10-01 07:00:00,68.14822237494718,24.09705541249237,Pallas-Yllästunturi
900,11.591666666666667,1,0.97,6.79,0,3.959568206098665,2019-10-01 08:00:00,68.14822237494718,24.09705541249237,Pallas-Yllästunturi
912,11.405277777777775,0,0.93,10.14,0,2.0420508109228517,2019-10-01 05:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.4,0,0.93,8.98,1,2.0199417372377426,2019-10-01 06:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.394444444444444,1,0.89,8.9,0,5.215140747467293,2019-10-01 07:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.389166666666664,1,0.97,6.79,0,4.996593163693238,2019-10-01 08:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.383611111111113,1,0.76,8.06,22,5.4020747973684715,2019-10-01 09:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.378611111111107,1,0.93,5.72,1,5.1125188607032825,2019-10-01 10:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.373055555555556,1,0.92,3.37,3,4.43692095542427,2019-10-01 11:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.367777777777775,1,0.67,7.28,10,6.1249560910459655,2019-10-01 12:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.362222222222226,1,0.67,7.19,16,6.1249560910459655,2019-10-01 13:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.356666666666667,1,0.62,7.53,1,6.263196460858702,2019-10-01 14:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.351388888888893,1,0.86,4.86,2,4.401931107318378,2019-10-01 15:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.345833333333333,1,0.91,1.98,3,4.034278473581108,2019-10-01 16:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.340555555555556,1,0.69,5.82,5,5.482201539626192,2019-10-01 17:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.335,0,0.79,6.44,2,2.216441993479709,2019-10-01 18:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.329722222222221,0,0.8,5.49,0,2.1612373737025345,2019-10-01 19:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.324166666666667,0,0.84,4.6,2,1.5108041888729191,2019-10-01 20:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.318888888888884,0,0.84,4.63,0,1.5108041888729191,2019-10-01 21:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.313611111111117,0,0.9,3.78,0,1.2398578782143246,2019-10-01 22:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.308333333333335,0,0.96,2.81,0,1.3488720118832436,2019-10-01 23:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.302777777777774,0,0.96,2.74,0,1.3488720118832436,2019-10-02 00:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.2975,0,0.89,3.77,0,1.2398578782143246,2019-10-02 01:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.291944444444445,0,0.83,5.78,0,2.0406174357153444,2019-10-02 02:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.286388888888887,0,0.9,5.79,0,1.777620137976153,2019-10-02 03:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.281111111111107,0,0.9,5.71,0,1.777620137976153,2019-10-02 04:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.275555555555556,0,0.89,5.71,0,1.777620137976153,2019-10-02 05:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.270277777777775,0,0.94,4.68,0,1.3020421234913206,2019-10-02 06:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.264722222222225,1,0.95,3.45,2,4.344047129259906,2019-10-02 07:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.259444444444444,1,1.0,3.28,0,4.277440857282788,2019-10-02 08:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.253888888888893,1,1.0,4.33,0,4.358704756889766,2019-10-02 09:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.248611111111114,1,0.95,5.45,2,4.986324795100936,2019-10-02 10:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.243333333333334,1,0.95,5.53,2,4.986324795100936,2019-10-02 11:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.238055555555556,1,0.56,3.87,5,5.840062474580203,2019-10-02 12:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.2325,1,0.82,0.35,3,3.0668090875840477,2019-10-02 13:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.227222222222226,1,0.79,0.83,4,3.360753130157586,2019-10-02 14:00:00,60.32692454295634,24.495358359272675,Nuuksio
912,11.221666666666666,1,0.8,6.38,1,5.134579833598521,2019-10-02 15:00:00,60.32692454295634,24.495358359272675,Nuuksio
